,uID,Verb,Embedding,Context,Target,Prompt,ModalType,MatTense,MatSubjLemma,MatSubjPer,MatSubjNum,Embedding,genre,factive,mean.noTarget,sd.noTarget,Mean,SD,Reponses,gold_label,vote_count,agreement,mean_vote
651,SWBD-115,think,negation,"A: and then once they do get elected, they don't have the power or the authority or the willingness to do those things that they promised, you know, beforehand. B: Right. A: You know, maybe it just wasn't possible at all in the first place, you know, like the no new taxes thing. You know, that's, uh, with the economy going the way it is and everything, that was nearly ridiculous thing to, even try to do. B: Yeah.  Yeah.","Well, I don't think he's going to have to worry about that next year.",he's going to have to worry about that next year,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.375,0.51754917,"-2, -2, -3, -3, -2, -3, -2, -2",contradiction,8,1.000000,-2.375000
652,SWBD-116,realize,negation,"A: Oh, oh yeah, and every time you see one hit on the side of the road you say is that my cat. B: Uh-huh. A: And you go crazy thinking it might be yours. B: Right,",well I didn't realize my husband was such a sucker for animals until I brought one home one night.,her husband was such a sucker for animals,,past,I,first,singular,negation,SWBD,yes,NA,NA,2.222222222,1.6414763,"2, 3, 3, 3, 2, 3, -2, 3, 3",entailment,9,0.888889,2.222222
653,SWBD-117,see,negation,"B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV.","In fact, I've never seen my mom turn on the TV,",his mom would turn on the TV,,past,I,first,singular,negation,SWBD,yes,NA,NA,-2.75,0.46291005,"-2, -3, -3, -3, -3, -2, -3, -3",contradiction,8,1.000000,-2.750000
657,SWBD-120,think,negation,"B: And I don't think that rehabilitation is effective. A: Right. Have to agree with you, and I'm kind of in favor of capital punishment also.","I just don't think that it acts much as a deterrent to these people because, uh, you still see them committing the same crimes,",it acts much as a deterrent to these people,,present,I,first,singular,negation,SWBD,no,NA,NA,-2,0.534522484,"-2, -2, -3, -2, -2, -2, -2, -1",contradiction,8,1.000000,-2.000000
658,SWBD-121,see,negation,"B: Uh-huh. Yeah, I don't think switching back and forth is that big a deal. I think people need to understand more like what a meter is, instead of how many feet in a meter or something. Just get used to using all the terms. Because someone says a kilogram, no one knows what that is. A: Everyone wants a conversion of that before kind of recognizing it as a concept to hold in mind. B: Yeah. A:","Uh, I don't see that, it can change it very quickly.",it can change it very quickly,,present,I,first,singular,negation,SWBD,yes,NA,NA,1.6,2.011080417,"2, 3, 1, 3, 3, -2, 3, 2, 3, -2",entailment,10,0.800000,1.600000
659,SWBD-122,believe,negation,"A: so you hear so much, you get a little tired of it, but then again, so many people you got to understand only catch it once a day, maybe B: Yep. A: but I think the quality of uh, our news is just, uh,",I don't believe it could be better,it could be better,,present,I,first,singular,negation,SWBD,no,NA,NA,-2,0.471404521,"-2, -2, -1, -2, -2, -2, -2, -3, -2, -2",contradiction,10,1.000000,-2.000000
660,SWBD-123,think,negation,"A: I've never heard that one, that's very nice. Oh, so I'm all for the metric system and converting over and I think, I guess, my feeling is the way to do it is to just start giving weights, you know, have a very brief transition period and then just start giving weights and kilometers, er, just as in kilometers and weights and kilograms and everything like that and, uh, just have people start using it rather than having people constantly trying to convert. Remember me getting a package of something that said one pound, this is a package of dates mind you, was, presumably something you weigh fairly precisely, it said one pound and then in parenthesis it said four hundred fifty-four point six grams. B: Right, right. A: And, as near as I could tell, seeing that was basically anti-metric propaganda cause anyone who would say, well look I can either buy a pound of something at four hundred sixty-four point six grams which, of course, they couldn't weigh it out accurately anyway, um, every time I see something like that I think, well, that's an anti-metric argument. B: Yeah.","Well, uh, I don't think it could ever happen with a quick transition.",it could happen with a quick transition,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.454545455,0.687551651,"-3, -1, -2, -3, -2, -2, -2, -3, -3, -3, -3",contradiction,11,1.000000,-2.454545
661,SWBD-124,think,negation,"A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that.","I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences",it deters somebody,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.2,0.918936583,"0, -2, -3, -3, -2, -2, -2, -3, -3, -2",contradiction,10,0.900000,-2.200000
663,SWBD-126,know,negation,"A: and I'm just like, well, uh, I'm not even going to think much about it if you're going to treat me with this much respect even before you've gotten to know me. B: Yeah.  Right.  Right. that's basically my opinion on it, right there, is that it's just, you know, I was in the same sort of situation as, it was a job interview and then you had a physical, where you were drug tested, and it's, I just, and I know people who have been drug tested and who have not, you know, been hired by a corporation which, uh, you know, I really. The other side of it is, besides its being an invasion of personal privacy, it's my bodily fluid and I don't really want you to look at it, or something pretty basic like that, A: Uh-huh. B:",just to the fact that I don't know that it is a company's business to regulate what its employees are doing when they're not at work.,it is a company's business to regulate what its employees are doing when they're not at work,,present,I,first,singular,negation,SWBD,yes,NA,NA,-1.416666667,1.729862492,"3, -1, -1, -1, -3, -3, -2, -1, -3, -2, 0, -3",contradiction,12,0.833333,-1.416667
664,SWBD-127,think,negation,"B: And I've worked in the hospital for fifteen years and I've taken care of a few AIDS patients. A: Uh-huh. B: Uh, when they asked us did we want to, uh, keep it the same or, uh, spend more, spend less, uh, I think right now what they're spending is adequate. Uh, for my personal opinion. Uh, because I think it's something that's going to take them a while to come up with a, uh, vaccine for. A: Yeah.  Uh-huh.  Uh-huh. B:",I don't think it's going to be that easy to come up with,it is going to be that easy to come up with,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.2,0.632455532,"-2, -2, -3, -1, -2, -2, -2, -3, -3, -2",contradiction,10,1.000000,-2.200000
665,SWBD-128,see,negation,"A: I'll let you go first. B: Oh, well, what's there to say? Doesn't seem like it's being carried out very well in my opinion.",Seems like it takes so long between conviction and carrying out the penalty that I don't see that it makes any difference to sentence anybody.,it makes any difference to sentence someone,,present,I,first,singular,negation,SWBD,yes,NA,NA,-2.125,0.640869944,"-2, -3, -3, -1, -2, -2, -2, -2",contradiction,8,1.000000,-2.125000
667,SWBD-13,figure,conditional,"A: Yeah, they did. They put a lot of pressure on him from the outside and from the inside. Uh, it's funny watching them play, he's probably like a lot of quarterbacks, uh, when the pressure is really on when it's down to the last few minutes of the game for the season is when the guys seem to really do their best. B: Uh-huh. A: And I haven't quite figured that out,","if they figure they have got it won or if there's no real hurry because the first three quarters or, uh, uh, if something happens that that adrenalin starts flowing.",they have got it won,,present,they,third,plural,conditional,SWBD,no,NA,NA,-0.125,0.353553391,"-1, 0, 0, 0, 0, 0, 0, 0",neutral,8,0.875000,-0.125000
669,SWBD-131,think,negation,"A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime,",but I don't think that it really actually does that.,it really actually does that,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.9,0.875595036,"-2, -2, -3, -2, -2, -3, -2, -2, -1, 0",contradiction,10,0.900000,-1.900000
671,SWBD-133,think,negation,"A: Uh, well then you must know a lot more about this than I do. B: Uh, I think, uh, the system right now, you know, you know, is fine. I think it should be by a jury. I don't think the judge should have, I mean he's just there kind of like the referee. A: Uh-huh, Uh-huh. B:","Uh, I don't even think that it should be unanimous either. Uh,",it should be unanimous,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.6,0.966091783,"-2, -1, -2, -3, -2, 0, -2, -2, 0, -2",contradiction,10,0.800000,-1.600000
672,SWBD-134,think,negation,"B: Uh-huh. It, I mean, I don't know, I don't think George Bush will make the American people happy with ninety-seven cents a week. A: No, no, not at all. B:",I just don't think it was a well thought out incentive.,it was a well thought out incentive,,present,I,first,singular,negation,SWBD,no,NA,NA,-2,0.755928946,"-2, -2, -2, -1, -1, -3, -3, -2",contradiction,8,1.000000,-2.000000
673,SWBD-135,think,negation,"B: How about Ghost? A: we saw, an, we liked it","but, you know, I didn't think it was as good as all the, uh, hype was about it.",it was as good as all the hype was about it,,past,I,first,singular,negation,SWBD,no,NA,NA,-2,0.707106781,"-2, -1, -2, -2, -3, -3, -1, -2, -2",contradiction,9,1.000000,-2.000000
676,SWBD-138,think,negation,"B: but I found that, uh, it was made of some material which actually ended up rusting uh, after, A: Oh. B: even, despite, you know, diligent washing, it got rusty after about, uh, three weeks of use.","And I don't think it was my fault because you know, I had made a point of like drying it off and cleaning it",it was his fault,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.777777778,0.833333333,"-2, -1, -3, -1, -2, -1, -2, -3, -1",contradiction,9,1.000000,-1.777778
679,SWBD-140,think,negation,"A: and if they weren't spending all the money on drug testing, people could have got a raise. So, see, you know, there's different, I think that's more of a personal view of mine other than a yes, sir, we should have drug testing because there's really a problem B: Uh-huh. A: and I know that. But then, I have other views to it. B:",I didn't think it was that expensive because my son was in probably a week and a half period,it was that expensive,,past,I,first,singular,negation,SWBD,no,NA,NA,-1.583333333,0.900336637,"-2, -2, -1, -2, -2, -2, -2, -3, -1, -2, 0, 0",contradiction,12,0.833333,-1.583333
680,SWBD-141,notice,negation,"A: and that rolling kind of, uh, B: Terrain. A: Yeah. is fairly famili-,. The thing that I thought was interesting was that the critics, apparently it's going to win everything. B: Really? A:","Uh, and I had been told, you know, you wouldn't notice that it was three hours long, and all this, kind of,",it was three hours long,,past,you,second,unknown,negation,SWBD,yes,NA,NA,1.666666667,1.322875656,"3, -1, 2, 2, 3, 1, 1, 1, 3",entailment,9,0.888889,1.666667
681,SWBD-142,think,negation,"B: I did, too. A: I mean, it was just more for my money. B: Yeah.",I didn't think it was too long at all.,it was too long,,past,I,first,singular,negation,SWBD,no,NA,NA,-2.111111111,1.615893286,"-3, -3, -2, -3, -2, -3, 2, -3, -2",contradiction,9,0.888889,-2.111111
682,SWBD-143,think,negation,"B: That's true. A: So. B: Uh, the other argument is that the death penalty is a deterrent and I really don't, uh, agree with that. I don't think anyone who would commit uh, a crime that would get them the death penalty would stop at the moment and say, well, I was about to kill and dismember this person but, oh, if they catch me they're going to kill me so I better not do it.","I just, don't think uh, that it works that way.",it works that way,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.375,1.597989809,"-1, -1, -3, 2, -1, -2, -3, -2",contradiction,8,0.875000,-1.375000
684,SWBD-145,think,negation,"A: I don't think it's done. I don't think we run it as a deterrent. I mean people say that, but, I mean, if it was really a deterrent, I mean I think like horse thieves in the old west, you know, they saw other horse thieves hanging by the necks every once in a while. B: Uh-huh. A: And if it was really seriously going to be a deterrent, I would think that it would be public.",I mean I don't think it would be this private thing because nobody ever sees it.,it would be this private thing,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.555555556,1.424000624,"-1, 2, -2, -2, -2, -2, -2, -2, -3",contradiction,9,0.888889,-1.555556
685,SWBD-146,think,negation,"B: but, you know, for other kind of cans, it'd probably only take aluminum cans like that, don't they. A: Yeah, I don't, yeah,","I don't think it would crush steel cans,",it would crush steel cans,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.2,0.632455532,"-2, -2, -3, -3, -2, -2, -2, -2, -3, -1",contradiction,10,1.000000,-2.200000
687,SWBD-148,occur,negation,"B: That throws the budget out of whack real fast. A: Well, we actually planned for about one year. B: Oh, good. A:","Uh, that God because,, it never occurred to us that it would take seven months.",it would take seven months,,past,it,third,singular,negation,SWBD,no,NA,NA,-1.5,0.9258201,"-2, -1, -3, -1, -2, 0, -2, -1",contradiction,8,0.875000,-1.500000
688,SWBD-149,think,negation,"B: yeah, obviously we don't have any and I think that's part of the role reversal, is it's okay to get married and not have kids. A: Oh yeah. B: And I think society for such a long time said, well, you know, you're married, now you need to have your family",and I don't think it's been until recently that they had decided that two people was a family.,it's been until recently that they had decided that two people was a family,,present,I,first,singular,negation,SWBD,no,NA,NA,1.25,1.832250763,"2, -3, 2, 3, 2, 2, 1, 1",entailment,8,0.875000,1.250000
690,SWBD-150,think,negation,"B: That's true. A: So. B: Uh, the other argument is that the death penalty is a deterrent and I really don't, uh, agree with that. I don't think anyone who would commit uh, a crime that would get them the death penalty would stop at the moment and say, well, I was about to kill and dismember this person but, oh, if they catch me they're going to kill me so I better not do it. I just, don't think uh, that it works that way. A: Yeah. ",I don't think it's done.,it's done,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.818181818,1.328019715,"-2, -2, 2, -2, -3, -2, -2, -2, -2, -3, -2",contradiction,11,0.909091,-1.818182
692,SWBD-152,think,negation,"A: No, I don't either. B: Uh, I mean it's, you know it, A:",I don't think it's going to change very much,it's going to change very much,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.090909091,0.301511345,"-2, -2, -2, -2, -2, -2, -2, -3, -2, -2, -2",contradiction,11,1.000000,-2.090909
693,SWBD-153,think,negation,"B: But, uh, if the wind comes basically from the south it can be really bad. A: Uh-huh. B: Uh, the State of Wisconsin, as a matter of fact, uh, started some litigation against Illinois because of the air pollution we were getting. A: Uh-huh. B:","Uh, I don't think it's going to go very far,",it's going to go very far,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.125,0.83452296,"-1, -1, -2, -3, -3, -3, -2, -2",contradiction,8,1.000000,-2.125000
694,SWBD-154,think,negation,"A: I suppose so. Let me push the button. B: All right. A: Okay, uh, I guess I'm supposed to be all for switching to the metric system, but, uh, I sense that it's not going to happen anytime soon. B: Yeah,","I don't think it's going to happen either,",it's going to happen,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.4,0.516397779,"-2, -2, -3, -2, -3, -2, -2, -2, -3, -3",contradiction,10,1.000000,-2.400000
695,SWBD-155,seem,negation,"A: for the moment, and that's what really is getting me about what George Bush's stand on the budget is right now is that he is saying, I am going to give you this ludicrous little tax cut so that you'll be happy come November, and you'll elect me again B: Uh-huh.  Uh-huh. A: and then I'm going to go on and just forget everything that I said B: Uh-huh. A:","or you know, it doesn't seem that it's going to make much of a difference.",it's going to make much of a difference,,present,it,third,singular,negation,SWBD,no,NA,NA,-1.363636364,1.80403588,"-2, -2, -2, -2, -3, -2, -1, 3, -2, 1, -3",contradiction,11,0.818182,-1.363636
696,SWBD-156,think,negation,"B: Yeah. Well, that's the guy that counts. A: Yes. But, maybe we'll get your guy. B:","Oh, I don't think Jim Kelly is about to be swayed away from the Bills any time.",Jim Kelly is about to be swayed away from the Bills any time,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.375,0.51754917,"-2, -2, -3, -2, -2, -3, -3, -2",contradiction,8,1.000000,-2.375000
698,SWBD-158,think,negation,"B: Well, that's true. A: I think that's really the only thing. I guess where I would like to see the system change is, uh, uh, there ought to be a","well I guess I don't think that, uh, uh, juries need to decide sentencing all the time.",juries need to decide sentencing all the time,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.583333333,1.56427929,"-1, 2, -2, -2, -2, -3, -2, 1, -2, -3, -3, -2",contradiction,12,0.833333,-1.583333
699,SWBD-159,think,negation,"A: Yeah, but that, doesn't mean, B: But that doesn't eliminate it, does it? A:",I don't think making laws will stop it.,making laws will stop it,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.272727273,0.646669791,"-3, -2, -3, -3, -3, -2, -1, -2, -2, -2, -2",contradiction,11,1.000000,-2.272727
701,SWBD-160,think,negation,"A: Oh, I can't either, not a one. B: And I know at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field. A: Uh-huh. B:",I don't think that men really took the time to work on that sort of thing.,men really took the time to work on that sort of thing,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.444444444,0.527046277,"-2, -2, -3, -3, -2, -2, -2, -3, -3",contradiction,9,1.000000,-2.444444
702,SWBD-161,think,negation,"B: Yeah. How about Mister Rogers, is he still around? A: Yes. Yeah. They still show Mister Rogers.","I don't think he's making new ones,",Mister Rogers is making new Mister Rogers,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.111111111,0.78173596,"-2, -1, -1, -3, -3, -2, -2, -3, -2",contradiction,9,1.000000,-2.111111
703,SWBD-162,think,negation,"A: What do you think about Robin Hood? B: Well, I work for school district and, uh, it has hurt us a lot. Uh, there has to be some way, I think, to equalize education opportunities. But, uh, you know, I think, especially big government, tends to think that the solution to everything is to throw money at it. And I don't, you know, that's just not true.","you know, I don't think money is going to take the place of intelligence or, uh, problem solving skills.",money is going to take the place of intelligence,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.5,0.534522484,"-3, -3, -2, -2, -3, -3, -2, -2",contradiction,8,1.000000,-2.500000
704,SWBD-163,think,negation,"B: like the customer is always right and you know, no matter how crabby you might be over the phone, they are very understanding and, uh, they ma- make sure things are set properly if you're any way dissatisfied with their merchandise. A: That's really good. It use to be like that. B: Uh-huh. A: But, ",I don't think most places are like that anymore.,most places are like that anymore,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.8,1.475729575,"2, -3, -2, -2, -2, -2, -1, -3, -2, -3",contradiction,10,0.900000,-1.800000
706,SWBD-165,think,negation,"B: and I'm just here for the rest of the stay. And so you know, I guess most of the time when I think about somebody going into a nursing home, it's more a case of where they are not able to look after their day-to-day needs. Yeah A: Uh-huh. B: they can look after a lot of things but there's some of the day-to-day needs that they just are not able to deal with physically anymore. Uh, I know none of my grandparents were in a nursing home. They generally were able to have someone care for them at home and they died. But they were all, goodness, younger than your grandparents. Like they were in their eighties. That type of thing. Uh, but I did, uh, you know, I guess, uh, when I think nursing home I do think of people that are not able to take care of themselves physically. Uh, A:",But I just don't think that nursing homes really do a very good job.,nursing homes really do a very good job,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.125,0.640869944,"-3, -3, -2, -2, -2, -2, -2, -1",contradiction,8,1.000000,-2.125000
707,SWBD-166,realize,negation,"B: Yeah, and the ground will filter some of it but not all of it. A: No, not when you figure,",I didn't realize one cow produces that much manure,one cow produces that much manure,,past,I,first,singular,negation,SWBD,yes,NA,NA,1.25,0.707106781,"2, 1, 1, 2, 2, 0, 1, 1",entailment,8,0.875000,1.250000
708,SWBD-167,think,negation,"A: Uh, at, uh, it's TCJC. Tarrant County Junior College. B: Oh. A: Yeah. B: Okay. A: And it's really enjoyable. I like it. And then they also, you know, do you think we could make laws to eliminate all corruption,",and I don't think we can make laws to eliminate anything anyplace totally.,people can make laws to eliminate something every place totally,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.083333333,0.514928651,"-2, -3, -2, -2, -2, -2, -2, -2, -2, -1, -3, -2",contradiction,12,1.000000,-2.083333
709,SWBD-168,believe,negation,"A: Yeah, that's crazy. B: and then you come here in the Dallas area, um,",I don't believe that people should be allowed to carry guns in their vehicles.,people should be allowed to carry guns in their vehicles,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.636363636,0.504524979,"-2, -3, -2, -3, -3, -3, -3, -3, -2, -3, -2",contradiction,11,1.000000,-2.636364
711,SWBD-170,think,negation,"B: but if they get the little tiny kids saving it now, in five years, when they get bigger, it'll work a little bit more, too. A: Yeah.  True. B: Because it's, we've all got to do it right now. I just, I really amazed to find out that, eighty per cent are filled now, in garbage fills. In five years we're supposed to be at max. A: Uh-huh. B:",I don't think I can keep my own garbage.,she can keep her own garbage,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.2,0.788810638,"-2, -1, -1, -2, -2, -2, -3, -3, -3, -3",contradiction,10,1.000000,-2.200000
712,SWBD-171,think,negation,"A: Yeah. Koontz. Uh, his last name ends in a Z, I know that. B: Yeah, oh, I think I know who you're talking about. Uh, I've seen,","I don't think I can pronounce it either,",she can pronounce it,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.1,0.737864787,"-2, -2, -2, -1, -3, -1, -2, -3, -3, -2",contradiction,10,1.000000,-2.100000
713,SWBD-172,think,negation,"A: Is, uh, kind of fun. It's best done when you have leisure time and I had more of that in my childhood days than I have now. And I grew up in an area that, uh, was just a few feet from a rather large lake, and a few more miles from that was a even larger lake and we had a variety of boats at our disposal. Uh, I worked for a camp for a number of years. My father was on staff there, and we had every kind of things from canoes to paddle boats, sailboats, speedboats, you name it, they had it and we did a lot of, water sports. But I think, uh, the thing I liked the best was, uh, we spent about a summer couple of guys, uh, restored an old wooden boat that was built back in the mid-thirties and got a new canvas sail for it and had a real big old four- foot center board that went down in the middle to keep you upright when the waves, or the wind came from the side and we got that thing in the water and had a real good time with it. If you ever got it dumped over, though, it was a mess to get back up. It wasn't like the newer ones that have nice chambers that keep it afloat or keep it, uh, upright again. This one you had to work with. You get out of the water again and get it upright. And, uh, sailing was kind of nice to learn the maneuvers you had to make to work your way down a lake or work back up against the wind, as it were, tacking back and forth and, uh, more than once we'd get out there on a really stormy day and, uh, the storm or the wind was due to the front blowing and as soon as the front came over, it was calm. So you're out in the middle of nowhere with a paddle and you paddle your way back in and hope it doesn't start raining on you right away. And that didn't always work. We oftentimes got wet,. But, uh, it's a nice hobby to have.","Nowadays I don't think I could afford the boat or the time,",he could afford the boat,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.2,0.421637021,"-2, -3, -2, -3, -2, -2, -2, -2, -2, -2",contradiction,10,1.000000,-2.200000
714,SWBD-173,know,negation,"B: I think I've been trout fishing once. I've never fly fished. Have you fly fished? A: Uh, no I haven't.",I don't know that I could do that.,she could do that,,present,I,first,singular,negation,SWBD,yes,NA,NA,-1.888888889,1.166666667,"-3, -1, -2, -1, -1, -3, -3, -3, 0",contradiction,9,0.888889,-1.888889
715,SWBD-174,think,negation,"B: If you compare like the people that could have sent their kids to private schools and you know, the people that, uh, did send their kids to private schools. A: Yes. B: I think they compare you know, fairly well. A: Yeah. Yeah.","I mean, I honestly don't really think I could have, you know, done much better than I did in the school system I was in.",she could have done much better than she did in the school system she was in,,past,I,first,singular,negation,SWBD,no,NA,NA,-1.5,1.927248223,"-2, -2, -3, -1, -2, -3, 3, -2",contradiction,8,0.875000,-1.500000
716,SWBD-175,think,negation,"A: And, uh, I got to stay home with my kids, which I really wanted to do, but now I could not go back and do it. B: Yeah. A: I really couldn't,",I don't think I could stay home all the time and do nothing.,he could stay home all the time and do nothing,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.454545455,0.934198733,"-3, -3, -3, -2, -3, -3, -2, -2, -3, 0, -3",contradiction,11,0.909091,-2.454545
717,SWBD-176,think,negation,"A: Yeah. Well, Do you have anything else to say? B: Well,  No, not too much more about credit cards. A: Okay.",I don't think I do either,she has more to say about credit cards,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.125,0.640869944,"-3, -2, -2, -1, -2, -3, -2, -2",contradiction,8,1.000000,-2.125000
718,SWBD-177,think,negation,"B: Well that's true. You're right, you know, by the time you've finally got down to it, I was hoping I could remember where all those other things went. A: Well that's kind of the way I was, I tried to remember as I took stuff off where it went,",and I don't think I had too many nuts and bolts left over when I got it all put back together.,he had too many nuts and bolts left over,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.375,1.505940617,"-2, -2, 2, -1, -1, -2, -2, -3",contradiction,8,0.875000,-1.375000
719,SWBD-178,think,negation,"A:  nanny, sort of? Uh-huh. Uh-huh. B: and you know, I could envision a society where that would happen and make an interesting, uh, uh, story or whatever. A: Yeah. B:",I don't think I have a philosophical problem with that.,she has a philosophical problem with that,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.916666667,1.083624669,"-2, -3, -2, -3, 0, -3, -1, 0, -2, -2, -2, -3",contradiction,12,0.833333,-1.916667
721,SWBD-18,see,modal,"B: Yeah, hormones, but yeah, uh, steroids. But, I stay from that crap. A: Yeah, it's too dangerous. B:","Oh, I could just see hair would start growing out of my upper lip or something.",hair would start growing out of her upper lip,CI,future,I,first,singular,modal,SWBD,yes,NA,NA,1.333333333,0.707106781,"2, 1, 2, 1, 1, 2, 1, 0, 2",entailment,9,0.888889,1.333333
722,SWBD-180,think,negation,"B: That was kind of a funny movie with, uh, Richard Dreyfuss and Bill Murray. A: Uh-huh. B: That was fun. A: Golly,",I don't think that I've ever heard of that movie.,he has heard of that movie,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.545454545,1.572490786,"-2, -3, -2, -2, -3, 2, -2, 1, -2, -2, -2",contradiction,11,0.818182,-1.545455
723,SWBD-181,think,negation,"A: when I started thinking about this, those are some of my favorite shows, McGyver, because it's only one person there, uh, you know, instead of a cast of people, B: Uh-huh. A: but he's always going out and inventing new things out of scrap, and grabbing what he can and, you know, pieces of baling wire and a few tires and all of a sudden he's got a hang glider and, B:",I don't think I've even heard of that show.,she has heard of that show,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.2,1.032795559,"-3, -2, -2, -1, -3, -3, -2, 0, -3, -3",contradiction,10,0.900000,-2.200000
724,SWBD-182,think,negation,"B: uh, those Cowboys have increased their prices again this year. A: Oh yeah. B: But I didn't know,","I don't think I've heard anything on the Rangers,",he has heard something on the Rangers,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.9,1.197219,"0, -2, -2, -2, -3, -3, -1, 0, -3, -3",contradiction,10,0.800000,-1.900000
726,SWBD-184,think,negation,"A: Um, I don't, I am only twenty-eight and I haven't had much experience with nursing homes. I have never visited any of them","and, uh, I don't think I've ever even been in one.",he has ever been in one,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.5,1.511857892,"2, -2, -1, -2, -2, -2, -2, -3",contradiction,8,0.875000,-1.500000
727,SWBD-185,think,negation,"A: so it's nice to get away. It's just amazing, how much you miss. B: Yeah, it,  Yeah, it, yeah, it really is.","I mean, I don't think I ever see the Little Dipper,",she has seen the Little Dipper,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.5,1.977142106,"-2, -2, 3, -3, -1, -3, 2, -3, -3, -2, -2, -2",contradiction,12,0.833333,-1.500000
728,SWBD-186,think,negation,"B: You never see them on nationally basketball. A: You know, that's true.",I don't think I've ever seen them nationally on basketball.,he has seen them nationally on basketball,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.375,1.922609833,"-2, -3, -1, -2, -2, 3, -3, -1",contradiction,8,0.875000,-1.375000
730,SWBD-188,think,negation,"B: Yeah. It's, uh, I have modem night computer so I can log into the, uh, network at Georgia Tech and access my account through there, which can be useful. But, uh, yeah that and word processing is while I tend to, I mean, obviously, I do almost all of my report writing on my computer, uh, whether it's term papers or even some smaller homework assignments. A: Uh-huh. B: So it's I don't know, really become my mainstay I guess. I can't even remember,","actually I don't think I've ever used a typewriter in my life to do a report. Because my family, when I was growing up, we got a basic computer. TRS Eighty when they first came out.",he has used a typewriter to do a report,,present,I,first,singular,negation,SWBD,no,NA,NA,-2.333333333,0.5,"-2, -3, -2, -2, -2, -2, -3, -3, -2",contradiction,9,1.000000,-2.333333
731,SWBD-189,think,negation,"B: Well, I know I'm in the, you know, the only reason I asked about secondary schools or, you know, advanced education is because down here, you know, going to the University of Texas, the education I'm getting I think is kind of shoddy for a public school. A: Is it? B:","I don't think I'm getting what I should,",she is getting what she should,,present,I,first,singular,negation,SWBD,no,NA,NA,-1.636363636,1.026910636,"1, -1, -2, -2, -2, -2, -1, -2, -2, -2, -3",contradiction,11,0.909091,-1.636364
732,SWBD-19,say,modal,"A: I am right outside Baltimore. I am less than a mile from the Baltimore line. B: Um. A: And I go to a campus of the University of Maryland that is just, less than a mile from my house. So I'm actually in Baltimore, yeah,",you could say I'm in Baltimore.,he is in Baltimore,AB,present,you,second,unknown,modal,SWBD,no,NA,NA,2.545454545,0.687551651,"2, 3, 2, 3, 2, 3, 3, 3, 1, 3, 3",entailment,11,1.000000,2.545455
734,SWBD-191,think,negation,"A: Well, actually, uh, A:","I don't think I'm in the, uh, majority in Texas",she is in the majority in Texas,,present,I,first,singular,negation,SWBD,no,NA,NA,-2,0.942809042,"-2, 0, -2, -2, -2, -2, -3, -1, -3, -3",contradiction,10,0.900000,-2.000000
